BKNG_ID,HOME_STATE,NATIONALITY,HOME_COUNTRY,AGE,NBR_CRUISES,GROUP_TYPE,BKNG_STATUS,BKNG_OPEN_DATE,BKNG_CANCEL_DATE,CURRENCY_CODE,AIR_FLAG,BKNG_SOURCE,BKNG_TYPE,GENDER,DINING_TIME_CODE,DINING_TIME_CONF_FLAG,INSURANCE_PYMT_DATE,META,NET_TKT_REV,SAIL_DATE
44,CA,US,US,69,0,,B,7/18/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,131.83,7/28/2012
45,,CA,,0,0,,C,12/22/2011,12/27/2011,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,I,138.08,7/28/2012
46,,US,,0,0,,C,12/16/2011,12/21/2011,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,237.65,7/28/2012
47,,US,,0,0,,C,3/9/2012,3/14/2012,USD,N,AGENCY,FIT,F,2,Y,12/31/1900,V,255.89,7/28/2012
48,,US,,63,0,,C,1/16/2012,1/17/2012,USD,Y,DIRECT,FIT,F,P,Y,12/31/1900,V,304.4,7/28/2012
49,AZ,US,US,63,0,,B,6/15/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,129.65,7/28/2012
50,IL,US,US,49,0,G,B,1/25/2012,12/31/1900,USD,N,AGENCY,GROUP,F,1,Y,12/31/1900,V,232.23,7/28/2012
51,IL,US,US,33,1,G,B,3/7/2012,12/31/1900,USD,N,AGENCY,GROUP,F,1,Y,12/31/1900,I,124.23,7/28/2012
52,WA,US,US,56,4,,B,7/6/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,S,19.4,7/28/2012
53,,TW,,0,0,,C,6/10/2012,6/19/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,O,204.47,7/28/2012
54,FL,US,US,77,2,,C,6/27/2012,6/30/2012,USD,Y,AGENCY,FIT,F,P,Y,12/31/1900,V,151.53,7/28/2012
55,MN,US,US,47,0,,B,7/19/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,130.74,7/28/2012
56,NH,US,US,55,2,,C,4/18/2011,12/12/2011,USD,Y,DIRECT,FIT,M,1,Y,12/31/1900,D,838.31,7/28/2012
57,IA,US,US,57,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,V,148.18,7/28/2012
58,IL,US,US,74,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,F,163.32,7/28/2012
59,IL,US,US,53,0,,B,12/21/2011,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,237.65,7/28/2012
60,CA,US,US,49,0,,C,6/8/2012,6/9/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,0,7/28/2012
61,,CA,,47,0,,C,1/27/2012,2/15/2012,USD,N,AGENCY,FIT,F,1,Y,12/31/1900,D,411.65,7/28/2012
62,FL,US,US,51,1,,B,7/4/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,147.11,7/28/2012
63,IA,US,US,59,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,F,142.92,7/28/2012
64,,US,,55,0,,C,4/18/2012,4/23/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,259.28,7/28/2012
65,TX,US,US,52,1,,B,6/25/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,6/26/2012,V,147.11,7/28/2012
66,,US,,0,0,,C,5/15/2012,5/16/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,261.4,7/28/2012
67,,US,,,0,I,B,9/9/2011,12/31/1900,USD,,AGENCY,GROUP,,1,Y,12/31/1900,I,90.97,7/28/2012
68,,US,,0,0,,C,6/4/2012,6/5/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,218.54,7/28/2012
69,TN,US,US,68,0,,B,7/7/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,7/7/2012,V,147.11,7/28/2012
70,TN,US,US,84,1,,B,7/10/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,129.65,7/28/2012
71,MO,US,US,85,0,,C,1/15/2012,1/16/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,318.54,7/28/2012
72,FL,US,US,58,4,,C,6/19/2012,6/22/2012,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,134.01,7/28/2012
73,TX,US,US,59,0,,B,10/13/2011,12/31/1900,USD,N,AGENCY,FIT,F,2,Y,12/31/1900,S,283.51,7/28/2012
74,CA,IT,US,83,0,,B,7/7/2011,12/31/1900,AUD,N,AGENCY,FIT,F,P,Y,12/31/1900,D,351.24,7/28/2012
75,,US,,0,0,,C,1/4/2012,1/11/2012,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,240.98,7/28/2012
76,,US,,32,0,,C,7/17/2012,7/18/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,129.65,7/28/2012
77,,US,,58,0,,C,3/28/2012,3/29/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,S,318.54,7/28/2012
78,IA,US,US,49,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,S,176.58,7/28/2012
79,UT,US,US,56,0,,B,7/28/2011,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,S,259.51,7/28/2012
80,MI,US,US,45,0,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,241.28,7/28/2012
81,,US,,21,0,,C,7/10/2012,7/12/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,147.11,7/28/2012
82,,US,,35,0,,C,3/22/2012,3/27/2012,USD,N,AGENCY,FIT,F,2,Y,12/31/1900,D,393.65,7/28/2012
83,CO,US,US,61,0,,B,2/3/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,S,347.11,7/28/2012
84,MADRID,VE,ES,60,0,,C,4/27/2012,7/13/2012,EUR,N,AGENCY,FIT,M,P,Y,12/31/1900,O,337.39,7/28/2012
85,,US,,63,0,I,C,3/8/2011,3/30/2012,USD,N,AGENCY,GROUP,F,1,Y,12/31/1900,V,183.66,7/28/2012
86,,US,,,0,I,B,3/8/2011,12/31/1900,USD,,AGENCY,GROUP,,1,Y,12/31/1900,O,206.32,7/28/2012
87,,CA,,,0,,C,6/14/2011,6/19/2011,CAD,,AGENCY,FIT,,P,Y,12/31/1900,V,0,7/28/2012
88,,US,,35,0,,C,3/22/2012,3/27/2012,USD,N,AGENCY,FIT,M,2,Y,12/31/1900,D,393.65,7/28/2012
89,IA,US,US,44,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,105.33,7/28/2012
90,NC,US,US,74,0,,C,4/7/2012,4/9/2012,USD,N,DIRECT,FIT,M,2,Y,12/31/1900,S,368.54,7/28/2012
91,IA,US,US,53,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,F,147.25,7/28/2012
92,IL,US,US,25,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,F,97.53,7/28/2012
93,IA,US,US,67,0,I,B,9/9/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,146.97,7/28/2012
94,,US,,0,0,I,C,10/3/2011,3/30/2012,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,224.27,7/28/2012
95,IA,US,US,72,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,F,162.25,7/28/2012
96,IL,US,US,60,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,F,98.89,7/28/2012
97,OH,US,US,60,0,,B,7/12/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,118.54,7/28/2012
98,,US,,90,0,,C,4/18/2012,4/23/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,259.28,7/28/2012
99,FL,US,US,59,1,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,V,241.28,7/28/2012
100,KS,US,US,46,0,,B,7/1/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,147.11,7/28/2012
101,,US,,81,0,,C,1/15/2012,1/16/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,318.54,7/28/2012
102,IL,US,US,53,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,F,106.76,7/28/2012
103,,US,,0,0,,C,10/31/2011,11/5/2011,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,I,166.12,7/28/2012
104,NE,US,US,60,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,I,93.25,7/28/2012
105,CA,US,US,57,0,,B,7/16/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,129.65,7/28/2012
106,OH,US,US,59,0,G,B,9/21/2011,12/31/1900,USD,N,DIRECT,GROUP,F,P,Y,5/11/2012,D,477.11,7/28/2012
107,LA,US,US,57,1,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,237.99,7/28/2012
108,OR,US,US,64,1,,B,7/9/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,129.65,7/28/2012
109,,US,,52,0,,C,7/15/2012,7/16/2012,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,147.11,7/28/2012
110,TX,US,US,31,0,,C,7/11/2012,7/26/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,147.11,7/28/2012
111,IL,US,US,28,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,F,122.58,7/28/2012
112,NC,US,US,67,0,,B,1/6/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,249.53,7/28/2012
113,GA,US,US,68,0,,B,4/18/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,225.65,7/28/2012
114,MO,US,US,81,1,,B,6/29/2012,12/31/1900,USD,Y,DIRECT,FIT,M,P,Y,6/29/2012,S,192.05,7/28/2012
115,CA,US,US,57,3,,C,6/11/2012,6/12/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,D,332.83,7/28/2012
116,NY,US,US,60,0,G,B,8/27/2011,12/31/1900,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,231.93,7/28/2012
117,VA,US,US,71,1,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,D,408.24,7/28/2012
118,IL,US,US,53,0,I,B,9/9/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,V,143.23,7/28/2012
119,WI,US,US,58,0,Q,B,10/6/2011,12/31/1900,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,228.36,7/28/2012
120,,US,,0,0,K,C,7/6/2011,9/12/2011,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,F,162.15,7/28/2012
121,CA,US,US,86,1,,B,7/22/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,D,289.97,7/28/2012
122,OK,US,US,44,1,,C,10/31/2011,11/5/2011,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,I,166.12,7/28/2012
123,CA,US,US,75,0,,B,7/19/2012,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,7/20/2012,V,147.11,7/28/2012
124,TX,US,US,47,0,F,B,12/28/2011,12/31/1900,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,I,145.28,7/28/2012
125,TX,US,US,80,0,,B,7/16/2012,12/31/1900,USD,N,AGENCY,FIT,M,1,Y,7/16/2012,D,662.9,7/28/2012
126,,US,,0,0,,C,7/8/2012,7/9/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,I,118.54,7/28/2012
127,MS,US,US,58,0,G,B,2/7/2012,12/31/1900,USD,N,AGENCY,GROUP,F,1,Y,12/31/1900,V,214.23,7/28/2012
128,MO,US,US,60,0,G,B,10/19/2011,12/31/1900,USD,N,AGENCY,GROUP,F,1,Y,12/31/1900,V,214.22,7/28/2012
129,,US,,0,0,,C,7/10/2012,7/12/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,147.11,7/28/2012
130,NE,US,US,46,0,I,B,9/9/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,83.54,7/28/2012
131,SD,US,US,49,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,O,180.28,7/28/2012
132,MO,US,US,85,0,,C,1/21/2012,1/22/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,318.54,7/28/2012
133,,US,,0,0,G,C,12/2/2011,12/7/2011,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,I,127.39,7/28/2012
134,PA,US,US,48,0,,B,5/10/2012,12/31/1900,USD,N,AGENCY,FIT,F,2,Y,12/31/1900,F,201.22,7/28/2012
135,WA,US,US,53,0,,B,7/9/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,129.65,7/28/2012
136,,US,,0,0,G,C,12/2/2011,12/7/2011,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,V,220.96,7/28/2012
137,,US,,51,0,Q,C,6/5/2012,6/11/2012,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,F,173.97,7/28/2012
138,AZ,US,US,59,1,,B,7/3/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,7/3/2012,V,147.11,7/28/2012
139,MD,US,US,53,2,,B,8/2/2011,12/31/1900,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,D,516.4,7/28/2012
140,TX,US,US,71,0,,C,1/27/2012,2/15/2012,USD,N,AGENCY,FIT,M,1,Y,12/31/1900,D,411.65,7/28/2012
141,NM,US,US,0,0,,C,1/15/2012,1/16/2012,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,I,375.54,7/28/2012
142,,US,,74,0,,C,3/9/2011,3/14/2011,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,S,288.36,7/28/2012
143,WA,US,US,0,0,,C,6/12/2012,6/12/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,0,7/28/2012
144,CA,US,US,72,0,,B,10/5/2011,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,253.75,7/28/2012
145,FL,US,US,65,1,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,241.28,7/28/2012
146,,US,,0,0,G,C,9/27/2011,10/2/2011,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,I,142.76,7/28/2012
147,,TW,,15,0,,C,6/28/2012,6/28/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,O,0,7/28/2012
148,,US,,30,0,G,C,11/28/2011,12/8/2011,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,226.88,7/28/2012
149,MN,US,US,43,0,I,B,9/9/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,I,137.35,7/28/2012
150,NE,US,US,63,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,M,1,Y,12/31/1900,I,93.25,7/28/2012
151,OR,US,US,28,0,,B,6/21/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,147.11,7/28/2012
152,,US,,49,0,,C,2/12/2012,6/3/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,249.65,7/28/2012
153,WA,GB,US,37,0,G,B,11/30/2011,12/31/1900,USD,N,AGENCY,GROUP,F,P,Y,5/11/2012,I,136.83,7/28/2012
154,OR,US,US,65,2,,B,1/12/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,151.13,7/28/2012
155,MN,US,US,78,5,,C,4/19/2012,7/30/2012,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,S,297.65,7/28/2012
156,,US,,0,0,,C,6/5/2012,6/6/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,175.68,7/28/2012
157,MN,US,US,51,0,,B,6/16/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,132.83,7/28/2012
158,MN,US,US,44,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,142.35,7/28/2012
159,FL,US,US,36,0,I,B,8/3/2011,12/31/1900,USD,N,AGENCY,GROUP,F,2,Y,12/31/1900,V,237.99,7/28/2012
160,IA,US,US,41,0,I,B,3/8/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,O,177.93,7/28/2012
161,,US,,21,0,,C,6/25/2012,6/26/2012,USD,N,AGENCY,FIT,F,2,Y,12/31/1900,V,165.65,7/28/2012
162,NC,US,US,65,0,,B,6/4/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,F,160.53,7/28/2012
163,MI,US,US,31,0,Q,B,11/8/2011,12/31/1900,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,V,236.51,7/28/2012
164,CO,US,US,78,0,,B,1/30/2012,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,S,347.11,7/28/2012
165,NC,US,US,60,0,,B,5/5/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,F,191.6,7/28/2012
166,,US,,0,0,,C,12/13/2011,12/18/2011,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,490.45,7/28/2012
167,WA,US,US,58,1,Q,C,2/17/2012,2/17/2012,USD,N,AGENCY,GROUP,M,P,Y,12/31/1900,V,0,7/28/2012
168,MN,US,US,53,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,66.9,7/28/2012
169,WI,US,US,55,1,Q,B,10/6/2011,12/31/1900,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,228.36,7/28/2012
170,MI,US,US,45,0,Q,B,11/8/2011,12/31/1900,USD,N,AGENCY,GROUP,F,P,Y,12/31/1900,V,236.51,7/28/2012
171,CA,US,US,0,0,,C,1/16/2012,1/17/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,289.97,7/28/2012
172,TX,US,US,45,1,G,B,2/22/2012,12/31/1900,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,V,252.08,7/28/2012
173,TX,US,US,92,4,,B,6/26/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,6/27/2012,S,207.65,7/28/2012
174,,US,,0,0,K,C,5/16/2011,9/12/2011,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,I,264.01,7/28/2012
175,NY,US,US,59,0,,B,6/8/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,I,105.65,7/28/2012
176,CA,US,US,30,0,,C,7/7/2012,7/28/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,S,129.65,7/28/2012
177,IA,US,US,54,0,I,B,5/12/2011,12/31/1900,USD,Y,AGENCY,GROUP,F,1,Y,12/31/1900,I,150.61,7/28/2012
178,ID,US,US,55,1,,B,7/15/2012,12/31/1900,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,129.65,7/28/2012
179,,US,,0,0,,C,12/13/2011,12/18/2011,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,243.85,7/28/2012
180,,US,,0,0,,C,4/22/2012,4/23/2012,USD,N,DIRECT,FIT,M,P,Y,12/31/1900,V,275.68,7/28/2012
181,,US,,0,0,,C,1/4/2012,1/11/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,V,240.98,7/28/2012
182,N/A,ZA,ZA,36,0,,B,7/17/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,119.83,7/28/2012
183,PA,US,US,52,0,,B,1/12/2012,12/31/1900,USD,N,AGENCY,FIT,M,2,Y,12/31/1900,V,262.25,7/28/2012
184,,US,,0,0,,C,6/27/2012,6/28/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,I,214.96,7/28/2012
185,IL,US,US,50,0,G,B,1/25/2012,12/31/1900,USD,N,AGENCY,GROUP,M,2,Y,12/31/1900,V,246.08,7/28/2012
186,WA,US,US,66,9,,B,8/8/2011,12/31/1900,USD,N,DIRECT,FIT,F,P,Y,12/31/1900,V,273.54,7/28/2012
187,OR,IN,US,35,0,,B,7/1/2012,12/31/1900,USD,N,AGENCY,FIT,M,P,Y,12/31/1900,V,129.65,7/28/2012
188,,US,,0,0,,C,6/28/2012,6/29/2012,USD,N,AGENCY,FIT,F,P,Y,12/31/1900,D,333.65,7/28/2012
